Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C16, C2, C29, C32, C38, C40",0805,9,1uf ceramic,C28323
"C10, C11, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C35, C36, C37, C7, C8, C9",0805,20,22uf ceramic,C602037
"C14, C15, C30, C33, C34, C39, C4, C41, C5, C6",0805,10,0.1uf ceramic,C476766
C3,0805,1,10uf ceramic,C33546007
C31,0805,1,47nf ceramic,C1745
D1,D_SOD-123,1,D_Zener,C21570
D2,0805,1,LED,C19273154
L1,L_Chilisin_BMRB00060624,1,L 4.7uH,C41415576
PMOS1,SOIC-8_5.3x5.3mm_P1.27mm,1,~,C146318
R1,0805,1,330o,C17630
"R3, R4",0805,2,"3,3ko",C2907250
R5,0805,1,100ko,C96346
U1,TSOT-23-6,1,AP63203WU,C780769
