Designator,Mid X,Mid Y,Rotation,Layer
BATTERIE1,177.8,-66.04,270.0,top
BUTTON1,177.8,-83.82,270.0,top
C1,165.862,-102.55,90.0,top
C10,161.798,-102.55,90.0,top
C11,163.83,-102.55,90.0,top
C12,147.574,-93.792,90.0,top
C13,147.574,-68.138,90.0,top
C14,177.546,-94.742,180.0,top
C15,161.798,-76.642,270.0,top
C16,160.02,-76.642,90.0,top
C17,150.876,-76.708,270.0,top
C18,155.448,-76.708,270.0,top
C19,153.162,-76.708,270.0,top
C2,177.612,-98.044,0.0,top
C20,146.304,-76.708,270.0,top
C21,148.59,-76.708,270.0,top
C22,157.734,-76.708,270.0,top
C23,148.59,-51.816,270.0,top
C24,153.162,-51.816,270.0,top
C25,157.734,-51.816,270.0,top
C26,146.304,-51.816,270.0,top
C27,150.876,-51.816,270.0,top
C28,155.448,-51.816,270.0,top
C29,160.02,-51.816,90.0,top
C3,177.612,-100.838,180.0,top
C30,161.798,-51.816,270.0,top
C31,160.02,-108.204,270.0,top
C32,72.644,-56.2,90.0,top
C33,70.358,-56.2,270.0,top
C34,144.272,-111.064,270.0,top
C35,132.588,-110.744,90.0,top
C36,130.302,-110.744,90.0,top
C37,156.21,-108.458,270.0,top
C38,153.924,-108.458,270.0,top
C39,151.638,-108.489,90.0,top
C4,167.894,-102.55,90.0,top
C40,130.302,-105.41,90.0,top
C41,132.588,-105.41,270.0,top
C5,150.368,-93.792,270.0,top
C6,150.368,-68.138,270.0,top
C7,155.702,-102.55,90.0,top
C8,157.734,-102.55,90.0,top
C9,159.766,-102.55,90.0,top
D1,165.608,-107.442,270.0,top
D2,96.5985,-110.744,180.0,top
ESP1,93.98,-71.374,0.0,top
ESP32C1,93.98,-71.374,0.0,top
L1,138.684,-107.442,180.0,top
MPU1,76.962,-110.49,270.0,top
OLED1,108.204,-107.696,270.0,top
OLED2,116.84,-107.696,270.0,top
PMOS1,174.244,-105.918,270.0,top
R1,92.519,-110.744,0.0,top
R3,89.98,-98.806,0.0,top
R4,97.1315,-99.06,0.0,top
R5,163.068,-110.1325,90.0,top
STEPPER1,149.86,-59.69,0.0,top
STEPPER2,149.86,-85.09,0.0,top
TMC1,135.89,-59.69,0.0,top
TMC2,135.89,-85.09,0.0,top
U1,147.9605,-110.236,0.0,top
U2,124.206,-83.82,270.0,top
U3,124.46,-58.42,270.0,top
U4,125.476,-107.188,0.0,top
U5,164.084,-87.63,0.0,top
U6,124.206,-120.904,0.0,top
U7,130.048,-120.904,0.0,top
U8,156.21,-120.904,0.0,top
U9,162.052,-120.904,0.0,top
